Gas;Chemical Formula;Density;
Air;;12.740;
Ammonia;NH3;5.202083333;
Argon;Ar;17.572;
Bio Gas;35% CO2 65% CH4;11.363;
Butane;C4H10;25.567;
Butylene;C4H8;24.681;
Carbon Dioxide;CO2;19.359;
Carbon Monoxide;CO;12.321;
Chlorine;Cl2;31.205;
Ethane;C2H6;13.227;
Ethylene;C2H4;12.340;
Helium;He;1,222916667;
Hexane;C6H14;37.908;
Hydrogen;H2;0,615972222;
Methane;CH4;4,900694444;
Nitrogen;N2;12.323;
Oxygen;O2;14.076;
Pentane;C5H12;31.738;
Propane;C3H8;19.397;
Propylene;C3H6;18.510;
Sulfur Dioxide;SO2;28.191;
